cnt2,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,,,,,,,,11.94,13.5,14.3,14.7,14.6
AT,145.34,140.13,142.21,148.77,153.98,159.94,157.76,172.44,184.87,194.98,201.75,202.47
BE,70.16,69.92,71.93,75.35,80.68,78.34,79.43,84.79,103.05,110.24,118.97,116.79
BG,77.56,98.77,72.33,68.93,68.56,68.51,67.62,77.4,76.8,79.56,89.4,91.9
CH,158,158,,,181,181.18,182.71,185.34,188.81,184.9,189.29,191.31
CY,11.41,10.56,14.1,14.48,16.09,19.43,19.85,19.99,23.18,26.6,27.79,27.9
CZ,115.78,115.37,113.14,115.16,113.12,111.55,117.79,116.64,123.01,141.72,133.29,130.79
DE,1927.39,1940.75,1999.02,2083.26,2111.3,2161.15,2226.38,2276.16,2238.09,2233.96,2216.55,2245.8
DK,350.6,319.2,321,292.3,276,300,324.9,368.9,391.3,428,450.5,452
EE,31.8,35.7,37.12,38.4,40.63,42.63,43.83,40.53,43.1,43.29,44.4,44.83
GR,187.7,185.7,195.3,208.8,192.5,195,187,190,188.3,203.8,218.8,219.3
ES,308.82,310.5,306.3,301.9,306.8,315.71,314.9,387.74,452.05,460.92,481.12,474.68
FI,101.94,106.8,104.52,108.58,108.97,102.32,102.37,,88.44,83.82,,
FR,1879.99,1887.32,1858.79,1913.47,1923.04,1928.23,1946.64,1946.31,1949.83,1918.97,1913.82,1901.38
HR,29.92,25.93,28.24,29.06,30.14,31.63,32.64,32.2,33.97,36.08,34.68,31.02
HU,72.31,74.1,75.35,72.51,65.36,72.61,68,74.79,80.46,80.45,87.38,83.67
IE,,,,,,,182.8,188.42,207.1,206.1,219.9,225.4
IS,,,,,,,,,,,,
IT,1149.41,1161.49,1177.52,1177.16,1171.04,1203.76,1157.74,1176.02,1206.67,1232.23,1261.13,1308.03
LT,89.54,105.74,92.22,95.27,102.77,111.81,113.05,102.51,100.96,97.5,99.57,101.05
LU,,,,,,,,,,,3.21,2.77
LV,35.29,33.98,29.1,30.98,29.21,31.33,,34.74,38.38,38.63,46.35,47.42
ME,,,,,,0.8,1,,0.8,1.2,1.2,1.3
MT,2.96,2.81,,,,,,,,,,
NL,732.29,723.52,713.91,771.31,768.51,783.94,814.67,771.92,870,911,896,902
NO,,,,,,,,106.1,103.8,99.8,99,102.2
PL,594.45,594.33,633.63,666.59,675.57,721.49,732.28,743.74,772.67,805.99,840.63,855.59
PT,69.12,66.98,65.07,68.88,72.24,71.88,69.95,73.37,73.34,75.03,78.62,80.14
RO,68.7,70.27,66.29,63.96,60.58,67.1,70.48,74.65,81.65,87.58,91.07,96.24
RS,,,,,,,,33.75,40.74,44.36,50.09,53.1
SE,110.1,114.18,107.6,103.14,103.3,101.16,88.97,88.12,90.24,87.25,82.66,81.84
SI,18.36,19.15,18.08,18.34,18.33,17.61,15.98,16.64,15.16,15.22,16.59,16.23
SK,43.81,37.52,34.13,28.87,30.66,32.1,32.92,33.27,35.76,38.29,40.31,42.72
TR,,,,,,563.5,598.92,631.1,665.8,657.7,687.2,753.2
GB,339.2,343.4,321.7,337.09,355.2,357.22,348.56,372.53,396.99,441.53,456.84,465.09